País,Estado/Región,C.P./Código Postal,Subtotal del Pedido (y superior),Precio del envío
MEX,*,20050,0.0000,599.0000
MEX,*,20059,0.0000,599.0000
MEX,*,20060,0.0000,599.0000
MEX,*,20064,0.0000,599.0000
MEX,*,20070,0.0000,599.0000
MEX,*,20078,0.0000,599.0000
MEX,*,02008,0.0000,399.0000
MEX,*,20080,0.0000,599.0000
MEX,*,20089,0.0000,599.0000
MEX,*,02010,0.0000,399.0000
MEX,*,20100,0.0000,599.0000
MEX,*,20110,0.0000,599.0000
MEX,*,20115,0.0000,599.0000
MEX,*,20116,0.0000,599.0000
MEX,*,20117,0.0000,599.0000
MEX,*,20118,0.0000,599.0000
MEX,*,20119,0.0000,599.0000
MEX,*,20120,0.0000,599.0000
MEX,*,20123,0.0000,599.0000
MEX,*,20124,0.0000,599.0000
MEX,*,20126,0.0000,599.0000
MEX,*,20127,0.0000,599.0000
MEX,*,20129,0.0000,599.0000
MEX,*,20130,0.0000,599.0000
MEX,*,20135,0.0000,599.0000
MEX,*,20136,0.0000,599.0000
MEX,*,20137,0.0000,599.0000
MEX,*,20138,0.0000,599.0000
MEX,*,20140,0.0000,599.0000
MEX,*,20146,0.0000,599.0000
MEX,*,20149,0.0000,599.0000
MEX,*,20150,0.0000,599.0000
MEX,*,20157,0.0000,599.0000
MEX,*,20158,0.0000,599.0000
